Date:15.11.2018	Unit:C	CHARGE:00:16	TP:02:12	DRYe:07:24	FCs:11:02	FCe:	SCs:	SCe:	DROP:14:52	COOL:	Time:10:18
Time1	Time2	ET	BT	Event
00:00		183.75	175.35	
00:02		184.35	175.95	
00:04		186.3	176.5	
00:06		187.05	177.05	
00:08		188.45	177.65	
00:10		189.85	178.0	
00:12		190.15	178.3	
00:14		190.6	178.45	
00:16	00:00	191.25	178.6	CHARGE
00:18	00:02	191.8	178.1	
00:20	00:04	192.0	175.45	
00:22	00:06	192.0	172.8	
00:24	00:08	191.7	169.65	
00:26	00:10	190.9	166.4	
00:28	00:12	188.9	162.9	
00:30	00:14	187.35	158.9	
00:32	00:16	185.35	155.25	
00:34	00:18	183.1	151.6	
00:36	00:20	181.25	148.0	
00:38	00:22	179.0	144.75	
00:40	00:24	176.55	141.05	
00:42	00:26	174.7	137.35	
00:44	00:28	172.25	133.85	
00:46	00:30	170.2	130.55	
00:48	00:32	168.25	127.3	
00:50	00:34	166.15	124.4	
00:52	00:36	165.1	121.4	
00:54	00:38	162.55	118.25	
00:56	00:40	161.25	115.55	
00:58	00:42	159.35	112.9	
00:60	00:44	158.15	110.85	
01:02	00:46	156.6	108.35	
01:04	00:48	155.75	105.9	
01:06	00:50	153.85	104.05	
01:08	00:52	152.85	101.75	
01:10	00:54	152.3	99.8	
01:12	00:56	150.75	98.15	
01:14	00:58	150.05	96.3	
01:16	01:00	149.6	95.3	
01:18	01:02	148.95	93.25	
01:20	01:04	148.25	92.5	
01:22	01:06	147.75	90.55	
01:24	01:08	147.25	89.85	
01:26	01:10	146.85	88.7	
01:28	01:12	146.35	87.3	
01:30	01:14	145.95	86.75	
01:32	01:16	145.65	86.0	
01:34	01:18	145.35	85.2	
01:36	01:20	145.15	84.5	
01:38	01:22	144.95	83.65	
01:40	01:24	144.8	83.0	
01:42	01:26	144.8	82.4	
01:44	01:28	144.8	81.75	
01:46	01:30	144.8	81.35	
01:48	01:32	144.8	80.95	
01:50	01:34	144.8	80.65	
01:52	01:36	144.9	80.25	
01:54	01:38	144.95	79.95	
01:56	01:40	145.05	79.7	
01:58	01:42	145.2	79.45	
02:00	01:44	145.35	79.3	
02:02	01:46	145.55	79.15	
02:04	01:48	145.7	79.1	
02:06	01:50	145.95	79.1	
02:08	01:52	146.2	79.1	
02:10	01:54	146.4	79.1	
02:12	01:56	146.65	79.1	TP
02:14	01:58	146.8	79.15	
02:16	02:00	147.05	79.2	
02:18	02:02	147.3	79.4	
02:20	02:04	147.55	79.5	
02:22	02:06	147.8	79.7	
02:24	02:08	148.0	79.85	
02:26	02:10	148.25	80.1	
02:28	02:12	148.5	80.3	
02:30	02:14	148.75	80.55	
02:32	02:16	149.05	80.85	
02:34	02:18	149.3	81.1	
02:36	02:20	149.65	81.4	
02:38	02:22	149.85	81.65	
02:40	02:24	150.25	81.95	
02:42	02:26	150.55	82.3	
02:44	02:28	150.85	82.65	
02:46	02:30	151.15	83.0	
02:48	02:32	151.45	83.3	
02:50	02:34	151.75	83.65	
02:52	02:36	152.1	84.0	
02:54	02:38	152.35	84.45	
02:56	02:40	152.7	84.85	
02:58	02:42	152.95	85.25	
03:00	02:44	153.3	85.65	
03:02	02:46	153.55	85.95	
03:04	02:48	153.95	86.45	
03:06	02:50	154.35	86.85	
03:08	02:52	154.6	87.25	
03:10	02:54	154.95	87.75	
03:12	02:56	155.25	88.15	
03:14	02:58	155.6	88.55	
03:16	03:00	155.9	89.0	
03:18	03:02	156.25	89.4	
03:20	03:04	156.6	89.85	
03:22	03:06	156.9	90.3	
03:24	03:08	157.25	90.85	
03:26	03:10	157.55	91.2	
03:28	03:12	157.85	91.7	
03:30	03:14	158.25	92.15	
03:32	03:16	158.6	92.55	
03:34	03:18	158.95	93.05	
03:36	03:20	159.2	93.45	
03:38	03:22	159.5	93.95	
03:40	03:24	159.8	94.3	
03:42	03:26	160.05	94.75	
03:44	03:28	160.3	95.25	
03:46	03:30	160.55	95.65	
03:48	03:32	160.8	96.15	
03:50	03:34	161.0	96.55	
03:52	03:36	161.35	97.05	
03:54	03:38	161.6	97.45	
03:56	03:40	161.8	97.85	
03:58	03:42	162.05	98.35	
04:00	03:44	162.25	98.75	
04:02	03:46	162.5	99.25	
04:04	03:48	162.7	99.6	
04:06	03:50	162.95	100.05	
04:08	03:52	163.2	100.55	
04:10	03:54	163.45	100.9	
