Date:15.11.2018	Unit:C	CHARGE:00:06	TP:01:56	DRYe:06:48	FCs:10:08	FCe:	SCs:	SCe:	DROP:13:26	COOL:	Time:09:49
Time1	Time2	ET	BT	Event
00:00		231.25	179.85	
00:02		231.85	180.25	
00:04		232.25	180.5	
00:06	00:00	232.65	180.6	CHARGE
00:08	00:02	232.7	180.25	
00:10	00:04	232.2	177.8	
00:12	00:06	229.6	175.1	
00:14	00:08	227.1	172.3	
00:16	00:10	224.25	168.7	
00:18	00:12	220.7	164.65	
00:20	00:14	216.45	160.85	
00:22	00:16	212.2	157.05	
00:24	00:18	207.85	153.15	
00:26	00:20	203.5	149.65	
00:28	00:22	199.55	146.0	
00:30	00:24	195.3	142.0	
00:32	00:26	190.85	138.25	
00:34	00:28	187.05	134.65	
00:36	00:30	183.15	131.15	
00:38	00:32	179.65	128.0	
00:40	00:34	176.6	124.65	
00:42	00:36	173.6	121.15	
00:44	00:38	170.3	118.15	
00:46	00:40	167.4	115.25	
00:48	00:42	165.05	112.5	
00:50	00:44	162.65	110.4	
00:52	00:46	160.55	107.6	
00:54	00:48	159.0	105.0	
00:56	00:50	156.65	103.25	
00:58	00:52	154.95	100.6	
01:00	00:54	153.65	98.55	
01:02	00:56	152.05	97.05	
01:04	00:58	151.15	94.9	
01:06	01:00	150.5	93.8	
01:08	01:02	148.8	91.55	
01:10	01:04	148.35	90.7	
01:12	01:06	147.85	88.7	
01:14	01:08	147.15	87.8	
01:16	01:10	146.65	87.1	
01:18	01:12	146.05	85.1	
01:20	01:14	145.55	84.6	
01:22	01:16	145.25	83.95	
01:24	01:18	144.85	83.1	
01:26	01:20	144.7	82.0	
01:28	01:22	144.45	81.0	
01:30	01:24	144.3	80.65	
01:32	01:26	144.2	80.15	
01:34	01:28	144.1	79.65	
01:36	01:30	144.15	79.15	
01:38	01:32	144.2	78.65	
01:40	01:34	144.3	78.3	
01:42	01:36	144.5	77.95	
01:44	01:38	144.7	77.7	
01:46	01:40	144.9	77.5	
01:48	01:42	145.15	77.3	
01:50	01:44	145.35	77.15	
01:52	01:46	145.65	77.0	
01:54	01:48	145.9	76.9	
01:56	01:50	146.35	76.9	TP
01:58	01:52	146.65	77.0	
02:00	01:54	146.95	77.05	
02:02	01:56	147.2	77.1	
02:04	01:58	147.45	77.2	
02:06	02:00	147.75	77.35	
02:08	02:02	148.05	77.55	
02:10	02:04	148.3	77.7	
02:12	02:06	148.6	77.95	
02:14	02:08	148.85	78.1	
02:16	02:10	149.2	78.4	
02:18	02:12	149.5	78.65	
02:20	02:14	149.8	79.0	
02:22	02:16	150.15	79.35	
02:24	02:18	150.4	79.65	
02:26	02:20	150.75	80.0	
02:28	02:22	151.05	80.3	
02:30	02:24	151.45	80.65	
02:32	02:26	151.85	81.05	
02:34	02:28	152.25	81.45	
02:36	02:30	152.65	81.85	
02:38	02:32	153.0	82.25	
02:40	02:34	153.45	82.75	
02:42	02:36	153.8	83.15	
02:44	02:38	154.25	83.65	
02:46	02:40	154.7	84.15	
02:48	02:42	155.05	84.55	
02:50	02:44	155.55	85.05	
02:52	02:46	155.95	85.65	
02:54	02:48	156.45	86.15	
02:56	02:50	156.85	86.65	
02:58	02:52	157.25	87.05	
03:00	02:54	157.75	87.55	
03:02	02:56	158.05	88.0	
03:04	02:58	158.55	88.55	
03:06	03:00	158.9	89.0	
03:08	03:02	159.45	89.55	
03:10	03:04	159.9	90.05	
03:12	03:06	160.25	90.55	
03:14	03:08	160.65	91.15	
03:16	03:10	160.95	91.55	
03:18	03:12	161.35	92.15	
03:20	03:14	161.75	92.65	
03:22	03:16	162.15	93.15	
03:24	03:18	162.55	93.65	
03:26	03:20	162.95	94.1	
03:28	03:22	163.35	94.65	
03:30	03:24	163.7	95.2	
03:32	03:26	164.15	95.65	
03:34	03:28	164.6	96.25	
03:36	03:30	165.05	96.65	
03:38	03:32	165.55	97.25	
03:40	03:34	165.9	97.7	
03:42	03:36	166.4	98.35	
03:44	03:38	166.75	98.85	
03:46	03:40	167.1	99.35	
03:48	03:42	167.45	99.85	
03:50	03:44	167.85	100.25	
03:52	03:46	168.25	100.85	
03:54	03:48	168.6	101.3	
03:56	03:50	169.0	101.85	
03:58	03:52	169.3	102.35	
04:00	03:54	169.6	102.85	
04:02	03:56	169.95	103.35	
04:04	03:58	170.15	103.75	
04:06	04:00	170.5	104.25	
04:08	04:02	170.8	104.75	
04:10	04:04	171.05	105.25	
04:12	04:06	171.3	105.75	
04:14	04:08	171.55	106.15	
04:16	04:10	171.9	106.75	
04:18	04:12	172.1	107.2	
04:20	04:14	172.4	107.75	
04:22	04:16	172.65	108.25	
04:24	04:18	172.9	108.75	
04:26	04:20	173.15	109.25	
04:28	04:22	173.35	109.65	
04:30	04:24	173.65	110.25	
04:32	04:26	173.95	110.75	
04:34	04:28	174.15	111.15	
04:36	04:30	174.45	111.65	
04:38	04:32	174.7	112.05	
04:40	04:34	175.05	112.55	
04:42	04:36	175.3	113.0	
04:44	04:38	175.55	113.55	
04:46	04:40	175.8	114.05	
04:48	04:42	176.0	114.45	
04:50	04:44	176.3	114.95	
04:52	04:46	176.5	115.35	
04:54	04:48	176.8	115.95	
04:56	04:50	177.05	116.45	
04:58	04:52	177.3	116.85	
05:00	04:54	177.6	117.3	
05:02	04:56	177.85	117.65	
05:04	04:58	178.15	118.15	
05:06	05:00	178.4	118.6	
05:08	05:02	178.8	119.15	
05:10	05:04	179.15	119.65	
05:12	05:06	179.45	120.05	
05:14	05:08	179.8	120.55	
05:16	05:10	180.05	120.95	
05:18	05:12	180.4	121.45	
05:20	05:14	180.65	121.85	
05:22	05:16	180.95	122.25	
05:24	05:18	181.2	122.75	
05:26	05:20	181.45	123.15	
05:28	05:22	181.75	123.65	
05:30	05:24	182.0	124.1	
05:32	05:26	182.3	124.55	
05:34	05:28	182.55	124.95	
05:36	05:30	182.75	125.35	
05:38	05:32	183.05	125.85	
05:40	05:34	183.3	126.25	
05:42	05:36	183.65	126.75	
05:44	05:38	183.95	127.15	
05:46	05:40	184.3	127.55	
05:48	05:42	184.7	128.05	
05:50	05:44	185.0	128.35	
05:52	05:46	185.35	128.85	
05:54	05:48	185.7	129.2	
05:56	05:50	186.05	129.65	
05:58	05:52	186.35	130.05	
06:00	05:54	186.65	130.45	
06:02	05:56	187.05	130.85	
06:04	05:58	187.35	131.25	
06:06	06:00	187.75	131.75	
06:08	06:02	188.05	132.25	
06:10	06:04	188.35	132.55	
06:12	06:06	188.7	133.0	
06:14	06:08	188.95	133.35	
06:16	06:10	189.35	133.85	
06:18	06:12	189.7	134.2	
06:20	06:14	190.05	134.6	
06:22	06:16	190.4	135.05	
06:24	06:18	190.75	135.35	
06:26	06:20	191.05	135.8	
06:28	06:22	191.35	136.15	
06:30	06:24	191.7	136.6	
06:32	06:26	192.0	137.0	
06:34	06:28	192.25	137.35	
06:36	06:30	192.55	137.75	
06:38	06:32	192.8	138.15	
06:40	06:34	193.1	138.6	
06:42	06:36	193.3	139.0	
